Roland Garros Open,2025-06-01,06:00,Paris,2025-05-20,Duplas;Simples,200.00,Organização Francesa
Wimbledon Cup,2025-07-10,08:00,Londres,2025-06-30,Masculino;Feminino,250.00,All England Club
Super Bowl Challenge,2025-02-03,14:00,Miami,2025-01-25,Profissional;Amador,300.00,NFL Eventos
Champions League Showcase,2025-09-18,07:00,Madrid,2025-09-01,Sub-20;Open,500.00,UEFA Organizações
Tokyo Marathon Run,2025-03-15,06:30,Tokyo,2025-03-01,5km;10km,100.00,Associação Esportes Japão
Tour de France Stage,2025-07-21,09:00,Bordeaux,2025-07-10,Sprint;Montanha,150.00,Federação França
NBA Global Series,2025-11-02,10:00,New York,2025-10-15,Feminino;Juvenil,350.00,NBA Internacional
World Cup Soccer Fest,2025-06-28,11:00,Rio de Janeiro,2025-06-10,Grupos;Finais,400.00,FIFA Fest Brasil
Indian Premier League Star,2025-04-05,12:00,Mumbai,2025-03-20,20 Overs;T10,250.00,IPL Eventos
US Open Golf Classic,2025-09-07,13:30,Los Angeles,2025-08-25,Profissional;Amador,300.00,USGA Torneios
